Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1709937985.845	  5574.320	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_5 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_5: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_5.err
4	:	1709937985.840	  6314.923	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_4 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_4: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_4.err
3	:	1709937985.835	  6475.154	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_3 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_3: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_3.err
2	:	1709937985.829	  7455.174	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_2 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_2: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_2.err
1	:	1709937985.824	  7617.550	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_1 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_1: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_1.err
6	:	1709943560.255	  5334.783	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_6 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_6: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_6.err
8	:	1709944460.995	  4561.244	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_8 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_8: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_8.err
7	:	1709944300.769	  4799.253	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_7 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_7: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_7.err
10	:	1709945603.381	  4281.700	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_10 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_10: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_10.err
9	:	1709945441.009	  4485.375	0	0	0	0	angsd -GL 2 -out /Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_9 -nThreads 10 -doGlf 2 -doMajorMinor 1 -doMaf 2 -SNP_pval 1e-6 -minMaf 0.05 -minQ 30 -minInd 108 -minMapQ 40 -bam /Scratch/jill/tools/bamlist.txt -r SUPER_9: 2>/Scratch/jill/alignment_results_angsd/chrom_subset_results/SUPER_9.err
