Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1709749320.670	   232.417	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1001C_PE.bam /Scratch/jill/alignment_results_bwa/1001C_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1001C_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1001C_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1001C.bam && rm /Scratch/jill/alignment_results_bwa/1001C_temp_sorted.bam
1	:	1709749320.659	  1121.496	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1001A_PE.bam /Scratch/jill/alignment_results_bwa/1001A_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1001A_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1001A_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1001A.bam && rm /Scratch/jill/alignment_results_bwa/1001A_temp_sorted.bam
4	:	1709749320.675	  1173.920	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1006A_PE.bam /Scratch/jill/alignment_results_bwa/1006A_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1006A_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1006A_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1006A.bam && rm /Scratch/jill/alignment_results_bwa/1006A_temp_sorted.bam
2	:	1709749320.664	  1786.006	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1001B_PE.bam /Scratch/jill/alignment_results_bwa/1001B_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1001B_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1001B_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1001B.bam && rm /Scratch/jill/alignment_results_bwa/1001B_temp_sorted.bam
5	:	1709749320.681	  2374.707	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1010B_PE.bam /Scratch/jill/alignment_results_bwa/1010B_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1010B_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1010B_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1010B.bam && rm /Scratch/jill/alignment_results_bwa/1010B_temp_sorted.bam
7	:	1709750442.160	  1511.490	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1011B_PE.bam /Scratch/jill/alignment_results_bwa/1011B_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1011B_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1011B_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1011B.bam && rm /Scratch/jill/alignment_results_bwa/1011B_temp_sorted.bam
6	:	1709749553.094	  2488.161	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1010C_PE.bam /Scratch/jill/alignment_results_bwa/1010C_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1010C_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1010C_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1010C.bam && rm /Scratch/jill/alignment_results_bwa/1010C_temp_sorted.bam
9	:	1709751106.676	  1942.726	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1013C_PE.bam /Scratch/jill/alignment_results_bwa/1013C_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1013C_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1013C_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1013C.bam && rm /Scratch/jill/alignment_results_bwa/1013C_temp_sorted.bam
10	:	1709751695.396	  1661.424	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1014A_PE.bam /Scratch/jill/alignment_results_bwa/1014A_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1014A_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1014A_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1014A.bam && rm /Scratch/jill/alignment_results_bwa/1014A_temp_sorted.bam
8	:	1709750494.600	  2864.684	0	0	0	0	samtools cat /Scratch/jill/alignment_results_bwa/1013B_PE.bam /Scratch/jill/alignment_results_bwa/1013B_SE.bam | samtools sort -n --threads 5 | samtools fixmate - - | samtools sort --threads 5 -o /Scratch/jill/alignment_results_bwa/1013B_temp_sorted.bam && sambamba markdup -r -t 5 /Scratch/jill/alignment_results_bwa/1013B_temp_sorted.bam /Scratch/jill/alignment_results_bwa/1013B.bam && rm /Scratch/jill/alignment_results_bwa/1013B_temp_sorted.bam
