Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1709241599.166	  1778.085	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1001C\tSM:1001C\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1001C_1.fq.gz /Scratch/jill/alignment_results_fastp/1001C_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1001C_PE.bam
1	:	1709241599.155	  2581.763	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1001A\tSM:1001A\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1001A_1.fq.gz /Scratch/jill/alignment_results_fastp/1001A_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1001A_PE.bam
7	:	1709241599.187	 10992.220	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1011B\tSM:1011B\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1011B_1.fq.gz /Scratch/jill/alignment_results_fastp/1011B_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1011B_PE.bam
4	:	1709241599.171	 11627.256	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1006A\tSM:1006A\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1006A_1.fq.gz /Scratch/jill/alignment_results_fastp/1006A_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1006A_PE.bam
2	:	1709241599.160	 13498.836	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1001B\tSM:1001B\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1001B_1.fq.gz /Scratch/jill/alignment_results_fastp/1001B_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1001B_PE.bam
9	:	1709241599.199	 18887.387	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1013C\tSM:1013C\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1013C_1.fq.gz /Scratch/jill/alignment_results_fastp/1013C_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1013C_PE.bam
10	:	1709241599.205	 19124.588	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1014A\tSM:1014A\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1014A_1.fq.gz /Scratch/jill/alignment_results_fastp/1014A_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1014A_PE.bam
14	:	1709253226.436	 13284.271	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1015C\tSM:1015C\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1015C_1.fq.gz /Scratch/jill/alignment_results_fastp/1015C_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1015C_PE.bam
17	:	1709260723.801	  6303.733	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1016C\tSM:1016C\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1016C_1.fq.gz /Scratch/jill/alignment_results_fastp/1016C_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1016C_PE.bam
12	:	1709244180.936	 22873.463	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1014C\tSM:1014C\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1014C_1.fq.gz /Scratch/jill/alignment_results_fastp/1014C_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1014C_PE.bam
8	:	1709241599.193	 27687.028	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1013B\tSM:1013B\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1013B_1.fq.gz /Scratch/jill/alignment_results_fastp/1013B_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1013B_PE.bam
5	:	1709241599.177	 28339.302	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1010B\tSM:1010B\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1010B_1.fq.gz /Scratch/jill/alignment_results_fastp/1010B_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1010B_PE.bam
6	:	1709241599.182	 28708.169	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1010C\tSM:1010C\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1010C_1.fq.gz /Scratch/jill/alignment_results_fastp/1010C_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1010C_PE.bam
16	:	1709260486.596	 15828.157	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1016B\tSM:1016B\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1016B_1.fq.gz /Scratch/jill/alignment_results_fastp/1016B_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1016B_PE.bam
13	:	1709252591.415	 25064.542	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1015A\tSM:1015A\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1015A_1.fq.gz /Scratch/jill/alignment_results_fastp/1015A_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1015A_PE.bam
22	:	1709269938.485	  8002.360	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1028C\tSM:1028C\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1028C_1.fq.gz /Scratch/jill/alignment_results_fastp/1028C_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1028C_PE.bam
18	:	1709266510.731	 13439.212	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1026B\tSM:1026B\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1026B_1.fq.gz /Scratch/jill/alignment_results_fastp/1026B_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1026B_PE.bam
23	:	1709270307.362	 10192.595	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1029A\tSM:1029A\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1029A_1.fq.gz /Scratch/jill/alignment_results_fastp/1029A_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1029A_PE.bam
11	:	1709243377.258	 40941.674	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1014B\tSM:1014B\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1014B_1.fq.gz /Scratch/jill/alignment_results_fastp/1014B_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1014B_PE.bam
24	:	1709276314.762	 10211.880	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1029B\tSM:1029B\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1029B_1.fq.gz /Scratch/jill/alignment_results_fastp/1029B_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1029B_PE.bam
28	:	1709280499.970	  7014.157	0	0	0	0	bwa mem -t 5 -R '@RG\tID:1030C\tSM:1030C\tPL:ILLUMINA' /Scratch/jill/reference/bslug.final.fa.gz /Scratch/jill/alignment_results_fastp/1030C_1.fq.gz /Scratch/jill/alignment_results_fastp/1030C_2.fq.gz | samtools sort -@ 5 -o /Scratch/jill/alignment_results_bwa/1030C_PE.bam
