Sample	Reads	Mapped	Map-Rate	Duplicates	Dup-Rate	Depth	Coverage	Insert-size
1001A	8579103	7192291	0.838	0	0.000	0.314736	0.203624	239.6
1001B	50001596	48507635	0.970	0	0.000	2.19063	0.676374	126.4
1001C	4710720	4674232	0.992	0	0.000	0.310191	0.20343	244.0
1006A	25042302	24574284	0.981	0	0.000	1.18152	0.47849	153.4
1010B	39317308	38711090	0.985	0	0.000	1.8704	0.585371	136.6
1010C	52217737	51566926	0.988	0	0.000	2.26338	0.653712	116.7
1011B	44313718	25163203	0.568	0	0.000	0.875788	0.318035	76.5
1013B	71783573	71252178	0.993	0	0.000	3.38409	0.813924	138.0
1013C	46495563	45769028	0.984	0	0.000	2.29779	0.731968	177.6
1014A	38833910	38091057	0.981	0	0.000	1.92505	0.65796	189.2
1014B	90748599	89846807	0.990	0	0.000	4.24618	0.862237	145.5
1014C	53893978	53456547	0.992	0	0.000	2.58636	0.749052	170.8
1015A	57759963	56591173	0.980	0	0.000	2.54699	0.725281	137.0
1015C	35813340	33387325	0.932	0	0.000	1.35766	0.481524	102.8
1016A	113747582	112549514	0.989	0	0.000	4.11187	0.788147	81.2
1016B	38229705	37705056	0.986	0	0.000	1.48877	0.501979	96.3
1016C	16459050	15662642	0.952	0	0.000	0.785051	0.396296	198.7
1026B	34876666	33568379	0.962	0	0.000	1.68581	0.584955	147.6
1026C	45550588	44911742	0.986	0	0.000	2.69171	0.756173	213.6
1028A	36704306	35668554	0.972	0	0.000	1.71204	0.523004	125.9
1028B	56371924	55474584	0.984	0	0.000	2.49926	0.698257	133.7
1028C	22903101	21353254	0.932	0	0.000	1.00571	0.428094	140.7
1029A	23226859	21620948	0.931	0	0.000	1.18935	0.530311	205.6
1029B	29367396	28216340	0.961	0	0.000	1.31923	0.519145	137.1
1029C	52549610	49614151	0.944	0	0.000	2.22082	0.675491	128.5
1030A	47638248	44517069	0.934	0	0.000	1.84601	0.602203	116.8
1030B	16130524	15511104	0.962	0	0.000	0.888235	0.447161	251.7
1030C	14789849	14057155	0.950	0	0.000	0.75957	0.384143	218.7
1031A	48352224	46351205	0.959	0	0.000	1.93289	0.61891	118.0
1031B	49442939	47692875	0.965	0	0.000	2.07785	0.655465	126.7
1031C	33474533	32384230	0.967	0	0.000	1.39958	0.507182	116.5
1032A	42088542	40192078	0.955	0	0.000	2.01672	0.66617	162.8
1033A	35508829	33703268	0.949	0	0.000	1.45467	0.537273	129.7
1033C	59047569	58152928	0.985	0	0.000	3.1614	0.777591	176.7
1034A	67445361	66639387	0.988	0	0.000	3.03336	0.753345	141.8
1034B	55227006	23844830	0.432	0	0.000	0.43063	0.158487	43.9
1034C	43150517	41370584	0.959	0	0.000	1.90236	0.598288	127.3
1034D	96702704	95610241	0.989	0	0.000	4.46308	0.831583	132.9
1035A	34752639	34313261	0.987	0	0.000	1.69449	0.590184	170.7
1035C	47834280	45800652	0.957	0	0.000	2.35692	0.696011	155.6
1036C	47028337	44885728	0.954	0	0.000	2.29876	0.69668	156.8
1036D	73290563	72169710	0.985	0	0.000	2.98045	0.682306	93.9
1037A	49023686	46537695	0.949	0	0.000	2.29543	0.662809	132.3
1037B	37670895	36508033	0.969	0	0.000	1.63018	0.550417	127.4
1037C	21482335	19846481	0.924	0	0.000	1.03874	0.446712	161.6
1037D	55672166	54791610	0.984	0	0.000	2.31016	0.639548	106.8
1038A	23722499	22369483	0.943	0	0.000	1.17543	0.496028	167.2
1038B	19847714	19511213	0.983	0	0.000	1.01589	0.417828	151.1
1038D	46808395	46252842	0.988	0	0.000	2.32127	0.692538	164.4
1039A	81552804	78769558	0.966	0	0.000	3.48597	0.756522	106.4
1039B	46335896	45774241	0.988	0	0.000	2.09304	0.630686	132.6
1039C	51499773	50868000	0.988	0	0.000	2.40949	0.683436	139.7
1040A	41238520	40353956	0.979	0	0.000	1.70303	0.550836	112.7
1040B	68617254	67851379	0.989	0	0.000	3.27891	0.766981	141.6
1040C	48160245	47430793	0.985	0	0.000	1.98003	0.595598	107.1
1040D	29383029	28219889	0.960	0	0.000	1.47243	0.577853	189.5
1041B	27402349	26420894	0.964	0	0.000	1.14819	0.424131	106.3
1042A	55040459	54024492	0.982	0	0.000	2.18769	0.595445	95.2
1042B	42030667	40182245	0.956	0	0.000	1.93887	0.617935	145.3
1042C	233616795	229607697	0.983	0	0.000	8.63838	0.891402	83.2
1042D	261347372	257465471	0.985	0	0.000	10.7523	0.920429	102.2
1043A	8965806	8746178	0.976	0	0.000	0.580525	0.354376	273.8
1043B	264619903	200572298	0.758	0	0.000	8.39324	0.908428	100.3
1043C	214464619	122136929	0.569	0	0.000	3.83522	0.738294	69.6
1044A	260612994	246723597	0.947	0	0.000	9.98008	0.915637	92.8
1044B	179981543	170837208	0.949	0	0.000	7.3237	0.897486	106.1
1044C	99163886	86276281	0.870	0	0.000	3.43765	0.736944	92.3
